"r0_label","r1_label","r2_label","v_label","yr","r0","r1","r2","id","w","v","r2_v","r1_v","r0_v","r2_n","r1_n","r0_n","r2_n_notna","r1_n_notna","r0_n_notna","z_level","z_ids","z_n","z_n_pct","z_g_score","z"
"World","Latin America and the Caribbean","South America","Antioquia",2008,1,419,5,5,1,0.0132712249884302,0.0132712249884302,0.0132712249884302,0.0132712249884302,12,12,12,12,12,12,"v","5",1,1,0,0.0132712249884302
"World","Latin America and the Caribbean","South America","Antioquia",2009,1,419,5,5,1,0.0140475825712681,0.0140475825712681,0.0140475825712681,0.0140475825712681,12,12,12,12,12,12,"v","5",1,1,0,0.0140475825712681
"World","Latin America and the Caribbean","South America","Antioquia",2010,1,419,5,5,1,0.013617463059614,0.013617463059614,0.013617463059614,0.013617463059614,12,12,12,12,12,12,"v","5",1,1,0,0.013617463059614
"World","Latin America and the Caribbean","South America","Antioquia",2011,1,419,5,5,1,0.012532368045024,0.012532368045024,0.012532368045024,0.012532368045024,12,12,12,12,12,12,"v","5",1,1,0,0.012532368045024
"World","Latin America and the Caribbean","South America","Antioquia",2012,1,419,5,5,1,0.0123086663464264,0.0123086663464264,0.0123086663464264,0.0123086663464264,12,12,12,12,12,12,"v","5",1,1,0,0.0123086663464264
"World","Latin America and the Caribbean","South America","Atlántico",1990,1,419,5,9,1,0.0110852868025015,0.0110852868025015,0.0110852868025015,0.0110852868025015,12,12,12,12,12,12,"v","9",1,1,0,0.0110852868025015
"World","Latin America and the Caribbean","South America","Atlántico",1991,1,419,5,9,1,0.0113389742544577,0.0113389742544577,0.0113389742544577,0.0113389742544577,12,12,12,12,12,12,"v","9",1,1,0,0.0113389742544577
"World","Latin America and the Caribbean","South America","Atlántico",1992,1,419,5,9,1,0.0128940736234819,0.0128940736234819,0.0128940736234819,0.0128940736234819,12,12,12,12,12,12,"v","9",1,1,0,0.0128940736234819
"World","Latin America and the Caribbean","South America","Atlántico",1993,1,419,5,9,1,0.0130180886796176,0.0130180886796176,0.0130180886796176,0.0130180886796176,12,12,12,12,12,12,"v","9",1,1,0,0.0130180886796176
"World","Latin America and the Caribbean","South America","Atlántico",1994,1,419,5,9,1,0.0115779514696784,0.0115779514696784,0.0115779514696784,0.0115779514696784,12,12,12,12,12,12,"v","9",1,1,0,0.0115779514696784
"World","Latin America and the Caribbean","South America","Atlántico",1995,1,419,5,9,1,0.0115618835316687,0.0115618835316687,0.0115618835316687,0.0115618835316687,12,12,12,12,12,12,"v","9",1,1,0,0.0115618835316687
"World","Latin America and the Caribbean","South America","Atlántico",1996,1,419,5,9,1,0.0124960027280426,0.0124960027280426,0.0124960027280426,0.0124960027280426,12,12,12,12,12,12,"v","9",1,1,0,0.0124960027280426
"World","Latin America and the Caribbean","South America","Atlántico",1997,1,419,5,9,1,0.0122597529374729,0.0122597529374729,0.0122597529374729,0.0122597529374729,12,12,12,12,12,12,"v","9",1,1,0,0.0122597529374729
"World","Latin America and the Caribbean","South America","Atlántico",1998,1,419,5,9,1,0.0118178042510533,0.0118178042510533,0.0118178042510533,0.0118178042510533,12,12,12,12,12,12,"v","9",1,1,0,0.0118178042510533
"World","Latin America and the Caribbean","South America","Atlántico",1999,1,419,5,9,1,0.0122530802277283,0.0122530802277283,0.0122530802277283,0.0122530802277283,12,12,12,12,12,12,"v","9",1,1,0,0.0122530802277283
"World","Latin America and the Caribbean","South America","Atlántico",2000,1,419,5,9,1,0.0119051443401756,0.0119051443401756,0.0119051443401756,0.0119051443401756,12,12,12,12,12,12,"v","9",1,1,0,0.0119051443401756
"World","Latin America and the Caribbean","South America","Atlántico",2001,1,419,5,9,1,0.0131041592349824,0.0131041592349824,0.0131041592349824,0.0131041592349824,12,12,12,12,12,12,"v","9",1,1,0,0.0131041592349824
"World","Latin America and the Caribbean","South America","Atlántico",2002,1,419,5,9,1,0.0123023239107723,0.0123023239107723,0.0123023239107723,0.0123023239107723,12,12,12,12,12,12,"v","9",1,1,0,0.0123023239107723
"World","Latin America and the Caribbean","South America","Atlántico",2003,1,419,5,9,1,0.0126081220937769,0.0126081220937769,0.0126081220937769,0.0126081220937769,12,12,12,12,12,12,"v","9",1,1,0,0.0126081220937769
"World","Latin America and the Caribbean","South America","Atlántico",2004,1,419,5,9,1,0.0136002711845561,0.0136002711845561,0.0136002711845561,0.0136002711845561,12,12,12,12,12,12,"v","9",1,1,0,0.0136002711845561
"World","Latin America and the Caribbean","South America","Atlántico",2005,1,419,5,9,1,0.0139704505076841,0.0139704505076841,0.0139704505076841,0.0139704505076841,12,12,12,12,12,12,"v","9",1,1,0,0.0139704505076841
"World","Latin America and the Caribbean","South America","Atlántico",2006,1,419,5,9,1,0.0147542783961198,0.0147542783961198,0.0147542783961198,0.0147542783961198,12,12,12,12,12,12,"v","9",1,1,0,0.0147542783961198
"World","Latin America and the Caribbean","South America","Atlántico",2007,1,419,5,9,1,0.0142147315494213,0.0142147315494213,0.0142147315494213,0.0142147315494213,12,12,12,12,12,12,"v","9",1,1,0,0.0142147315494213
"World","Latin America and the Caribbean","South America","Atlántico",2008,1,419,5,9,1,0.0132712249884302,0.0132712249884302,0.0132712249884302,0.0132712249884302,12,12,12,12,12,12,"v","9",1,1,0,0.0132712249884302
"World","Latin America and the Caribbean","South America","Atlántico",2009,1,419,5,9,1,0.0140475825712681,0.0140475825712681,0.0140475825712681,0.0140475825712681,12,12,12,12,12,12,"v","9",1,1,0,0.0140475825712681
"World","Latin America and the Caribbean","South America","Atlántico",2010,1,419,5,9,1,0.013617463059614,0.013617463059614,0.013617463059614,0.013617463059614,12,12,12,12,12,12,"v","9",1,1,0,0.013617463059614
"World","Latin America and the Caribbean","South America","Atlántico",2011,1,419,5,9,1,0.012532368045024,0.012532368045024,0.012532368045024,0.012532368045024,12,12,12,12,12,12,"v","9",1,1,0,0.012532368045024
"World","Latin America and the Caribbean","South America","Atlántico",2012,1,419,5,9,1,0.0123086663464264,0.0123086663464264,0.0123086663464264,0.0123086663464264,12,12,12,12,12,12,"v","9",1,1,0,0.0123086663464264
"World","Latin America and the Caribbean","South America","Bolívar",1990,1,419,5,8,1,0.0110852868025015,0.0110852868025015,0.0110852868025015,0.0110852868025015,12,12,12,12,12,12,"v","8",1,1,0,0.0110852868025015
"World","Latin America and the Caribbean","South America","Bolívar",1991,1,419,5,8,1,0.0113389742544577,0.0113389742544577,0.0113389742544577,0.0113389742544577,12,12,12,12,12,12,"v","8",1,1,0,0.0113389742544577
"World","Latin America and the Caribbean","South America","Bolívar",1992,1,419,5,8,1,0.0128940736234819,0.0128940736234819,0.0128940736234819,0.0128940736234819,12,12,12,12,12,12,"v","8",1,1,0,0.0128940736234819
"World","Latin America and the Caribbean","South America","Bolívar",1993,1,419,5,8,1,0.0130180886796176,0.0130180886796176,0.0130180886796176,0.0130180886796176,12,12,12,12,12,12,"v","8",1,1,0,0.0130180886796176
"World","Latin America and the Caribbean","South America","Bolívar",1994,1,419,5,8,1,0.0115779514696784,0.0115779514696784,0.0115779514696784,0.0115779514696784,12,12,12,12,12,12,"v","8",1,1,0,0.0115779514696784
"World","Latin America and the Caribbean","South America","Bolívar",1995,1,419,5,8,1,0.0115618835316687,0.0115618835316687,0.0115618835316687,0.0115618835316687,12,12,12,12,12,12,"v","8",1,1,0,0.0115618835316687
"World","Latin America and the Caribbean","South America","Bolívar",1996,1,419,5,8,1,0.0124960027280426,0.0124960027280426,0.0124960027280426,0.0124960027280426,12,12,12,12,12,12,"v","8",1,1,0,0.0124960027280426
"World","Latin America and the Caribbean","South America","Bolívar",1997,1,419,5,8,1,0.0122597529374729,0.0122597529374729,0.0122597529374729,0.0122597529374729,12,12,12,12,12,12,"v","8",1,1,0,0.0122597529374729
"World","Latin America and the Caribbean","South America","Bolívar",1998,1,419,5,8,1,0.0118178042510533,0.0118178042510533,0.0118178042510533,0.0118178042510533,12,12,12,12,12,12,"v","8",1,1,0,0.0118178042510533
"World","Latin America and the Caribbean","South America","Bolívar",1999,1,419,5,8,1,0.0122530802277283,0.0122530802277283,0.0122530802277283,0.0122530802277283,12,12,12,12,12,12,"v","8",1,1,0,0.0122530802277283
"World","Latin America and the Caribbean","South America","Bolívar",2000,1,419,5,8,1,0.0119051443401756,0.0119051443401756,0.0119051443401756,0.0119051443401756,12,12,12,12,12,12,"v","8",1,1,0,0.0119051443401756
"World","Latin America and the Caribbean","South America","Bolívar",2001,1,419,5,8,1,0.0131041592349824,0.0131041592349824,0.0131041592349824,0.0131041592349824,12,12,12,12,12,12,"v","8",1,1,0,0.0131041592349824
"World","Latin America and the Caribbean","South America","Bolívar",2002,1,419,5,8,1,0.0123023239107723,0.0123023239107723,0.0123023239107723,0.0123023239107723,12,12,12,12,12,12,"v","8",1,1,0,0.0123023239107723
"World","Latin America and the Caribbean","South America","Bolívar",2003,1,419,5,8,1,0.0126081220937769,0.0126081220937769,0.0126081220937769,0.0126081220937769,12,12,12,12,12,12,"v","8",1,1,0,0.0126081220937769
"World","Latin America and the Caribbean","South America","Bolívar",2004,1,419,5,8,1,0.0136002711845561,0.0136002711845561,0.0136002711845561,0.0136002711845561,12,12,12,12,12,12,"v","8",1,1,0,0.0136002711845561
"World","Latin America and the Caribbean","South America","Bolívar",2005,1,419,5,8,1,0.0139704505076841,0.0139704505076841,0.0139704505076841,0.0139704505076841,12,12,12,12,12,12,"v","8",1,1,0,0.0139704505076841
"World","Latin America and the Caribbean","South America","Bolívar",2006,1,419,5,8,1,0.0147542783961198,0.0147542783961198,0.0147542783961198,0.0147542783961198,12,12,12,12,12,12,"v","8",1,1,0,0.0147542783961198
"World","Latin America and the Caribbean","South America","Bolívar",2007,1,419,5,8,1,0.0142147315494213,0.0142147315494213,0.0142147315494213,0.0142147315494213,12,12,12,12,12,12,"v","8",1,1,0,0.0142147315494213
"World","Latin America and the Caribbean","South America","Bolívar",2008,1,419,5,8,1,0.0132712249884302,0.0132712249884302,0.0132712249884302,0.0132712249884302,12,12,12,12,12,12,"v","8",1,1,0,0.0132712249884302
"World","Latin America and the Caribbean","South America","Bolívar",2009,1,419,5,8,1,0.0140475825712681,0.0140475825712681,0.0140475825712681,0.0140475825712681,12,12,12,12,12,12,"v","8",1,1,0,0.0140475825712681
"World","Latin America and the Caribbean","South America","Bolívar",2010,1,419,5,8,1,0.013617463059614,0.013617463059614,0.013617463059614,0.013617463059614,12,12,12,12,12,12,"v","8",1,1,0,0.013617463059614
"World","Latin America and the Caribbean","South America","Bolívar",2011,1,419,5,8,1,0.012532368045024,0.012532368045024,0.012532368045024,0.012532368045024,12,12,12,12,12,12,"v","8",1,1,0,0.012532368045024
"World","Latin America and the Caribbean","South America","Bolívar",2012,1,419,5,8,1,0.0123086663464264,0.0123086663464264,0.0123086663464264,0.0123086663464264,12,12,12,12,12,12,"v","8",1,1,0,0.0123086663464264
"World","Latin America and the Caribbean","South America","Cauca",1990,1,419,5,2,1,0.0110852868025015,0.0110852868025015,0.0110852868025015,0.0110852868025015,12,12,12,12,12,12,"v","2",1,1,0,0.0110852868025015
"World","Latin America and the Caribbean","South America","Cauca",1991,1,419,5,2,1,0.0113389742544577,0.0113389742544577,0.0113389742544577,0.0113389742544577,12,12,12,12,12,12,"v","2",1,1,0,0.0113389742544577
"World","Latin America and the Caribbean","South America","Cauca",1992,1,419,5,2,1,0.0128940736234819,0.0128940736234819,0.0128940736234819,0.0128940736234819,12,12,12,12,12,12,"v","2",1,1,0,0.0128940736234819
"World","Latin America and the Caribbean","South America","Cauca",1993,1,419,5,2,1,0.0130180886796176,0.0130180886796176,0.0130180886796176,0.0130180886796176,12,12,12,12,12,12,"v","2",1,1,0,0.0130180886796176
"World","Latin America and the Caribbean","South America","Cauca",1994,1,419,5,2,1,0.0115779514696784,0.0115779514696784,0.0115779514696784,0.0115779514696784,12,12,12,12,12,12,"v","2",1,1,0,0.0115779514696784
"World","Latin America and the Caribbean","South America","Cauca",1995,1,419,5,2,1,0.0115618835316687,0.0115618835316687,0.0115618835316687,0.0115618835316687,12,12,12,12,12,12,"v","2",1,1,0,0.0115618835316687
"World","Latin America and the Caribbean","South America","Cauca",1996,1,419,5,2,1,0.0124960027280426,0.0124960027280426,0.0124960027280426,0.0124960027280426,12,12,12,12,12,12,"v","2",1,1,0,0.0124960027280426
"World","Latin America and the Caribbean","South America","Cauca",1997,1,419,5,2,1,0.0122597529374729,0.0122597529374729,0.0122597529374729,0.0122597529374729,12,12,12,12,12,12,"v","2",1,1,0,0.0122597529374729
"World","Latin America and the Caribbean","South America","Cauca",1998,1,419,5,2,1,0.0118178042510533,0.0118178042510533,0.0118178042510533,0.0118178042510533,12,12,12,12,12,12,"v","2",1,1,0,0.0118178042510533
"World","Latin America and the Caribbean","South America","Cauca",1999,1,419,5,2,1,0.0122530802277283,0.0122530802277283,0.0122530802277283,0.0122530802277283,12,12,12,12,12,12,"v","2",1,1,0,0.0122530802277283
"World","Latin America and the Caribbean","South America","Cauca",2000,1,419,5,2,1,0.0119051443401756,0.0119051443401756,0.0119051443401756,0.0119051443401756,12,12,12,12,12,12,"v","2",1,1,0,0.0119051443401756
"World","Latin America and the Caribbean","South America","Cauca",2001,1,419,5,2,1,0.0131041592349824,0.0131041592349824,0.0131041592349824,0.0131041592349824,12,12,12,12,12,12,"v","2",1,1,0,0.0131041592349824
"World","Latin America and the Caribbean","South America","Cauca",2002,1,419,5,2,1,0.0123023239107723,0.0123023239107723,0.0123023239107723,0.0123023239107723,12,12,12,12,12,12,"v","2",1,1,0,0.0123023239107723
"World","Latin America and the Caribbean","South America","Cauca",2003,1,419,5,2,1,0.0126081220937769,0.0126081220937769,0.0126081220937769,0.0126081220937769,12,12,12,12,12,12,"v","2",1,1,0,0.0126081220937769
"World","Latin America and the Caribbean","South America","Cauca",2004,1,419,5,2,1,0.0136002711845561,0.0136002711845561,0.0136002711845561,0.0136002711845561,12,12,12,12,12,12,"v","2",1,1,0,0.0136002711845561
"World","Latin America and the Caribbean","South America","Cauca",2005,1,419,5,2,1,0.0139704505076841,0.0139704505076841,0.0139704505076841,0.0139704505076841,12,12,12,12,12,12,"v","2",1,1,0,0.0139704505076841
"World","Latin America and the Caribbean","South America","Cauca",2006,1,419,5,2,1,0.0147542783961198,0.0147542783961198,0.0147542783961198,0.0147542783961198,12,12,12,12,12,12,"v","2",1,1,0,0.0147542783961198
"World","Latin America and the Caribbean","South America","Cauca",2007,1,419,5,2,1,0.0142147315494213,0.0142147315494213,0.0142147315494213,0.0142147315494213,12,12,12,12,12,12,"v","2",1,1,0,0.0142147315494213
"World","Latin America and the Caribbean","South America","Cauca",2008,1,419,5,2,1,0.0132712249884302,0.0132712249884302,0.0132712249884302,0.0132712249884302,12,12,12,12,12,12,"v","2",1,1,0,0.0132712249884302
"World","Latin America and the Caribbean","South America","Cauca",2009,1,419,5,2,1,0.0140475825712681,0.0140475825712681,0.0140475825712681,0.0140475825712681,12,12,12,12,12,12,"v","2",1,1,0,0.0140475825712681
"World","Latin America and the Caribbean","South America","Cauca",2010,1,419,5,2,1,0.013617463059614,0.013617463059614,0.013617463059614,0.013617463059614,12,12,12,12,12,12,"v","2",1,1,0,0.013617463059614
"World","Latin America and the Caribbean","South America","Cauca",2011,1,419,5,2,1,0.012532368045024,0.012532368045024,0.012532368045024,0.012532368045024,12,12,12,12,12,12,"v","2",1,1,0,0.012532368045024
"World","Latin America and the Caribbean","South America","Cauca",2012,1,419,5,2,1,0.0123086663464264,0.0123086663464264,0.0123086663464264,0.0123086663464264,12,12,12,12,12,12,"v","2",1,1,0,0.0123086663464264
"World","Latin America and the Caribbean","South America","Chocó",1990,1,419,5,4,1,0.0110852868025015,0.0110852868025015,0.0110852868025015,0.0110852868025015,12,12,12,12,12,12,"v","4",1,1,0,0.0110852868025015
"World","Latin America and the Caribbean","South America","Chocó",1991,1,419,5,4,1,0.0113389742544577,0.0113389742544577,0.0113389742544577,0.0113389742544577,12,12,12,12,12,12,"v","4",1,1,0,0.0113389742544577
"World","Latin America and the Caribbean","South America","Chocó",1992,1,419,5,4,1,0.0128940736234819,0.0128940736234819,0.0128940736234819,0.0128940736234819,12,12,12,12,12,12,"v","4",1,1,0,0.0128940736234819
"World","Latin America and the Caribbean","South America","Chocó",1993,1,419,5,4,1,0.0130180886796176,0.0130180886796176,0.0130180886796176,0.0130180886796176,12,12,12,12,12,12,"v","4",1,1,0,0.0130180886796176
"World","Latin America and the Caribbean","South America","Chocó",1994,1,419,5,4,1,0.0115779514696784,0.0115779514696784,0.0115779514696784,0.0115779514696784,12,12,12,12,12,12,"v","4",1,1,0,0.0115779514696784
"World","Latin America and the Caribbean","South America","Chocó",1995,1,419,5,4,1,0.0115618835316687,0.0115618835316687,0.0115618835316687,0.0115618835316687,12,12,12,12,12,12,"v","4",1,1,0,0.0115618835316687
"World","Latin America and the Caribbean","South America","Chocó",1996,1,419,5,4,1,0.0124960027280426,0.0124960027280426,0.0124960027280426,0.0124960027280426,12,12,12,12,12,12,"v","4",1,1,0,0.0124960027280426
"World","Latin America and the Caribbean","South America","Chocó",1997,1,419,5,4,1,0.0122597529374729,0.0122597529374729,0.0122597529374729,0.0122597529374729,12,12,12,12,12,12,"v","4",1,1,0,0.0122597529374729
"World","Latin America and the Caribbean","South America","Chocó",1998,1,419,5,4,1,0.0118178042510533,0.0118178042510533,0.0118178042510533,0.0118178042510533,12,12,12,12,12,12,"v","4",1,1,0,0.0118178042510533
"World","Latin America and the Caribbean","South America","Chocó",1999,1,419,5,4,1,0.0122530802277283,0.0122530802277283,0.0122530802277283,0.0122530802277283,12,12,12,12,12,12,"v","4",1,1,0,0.0122530802277283
"World","Latin America and the Caribbean","South America","Chocó",2000,1,419,5,4,1,0.0119051443401756,0.0119051443401756,0.0119051443401756,0.0119051443401756,12,12,12,12,12,12,"v","4",1,1,0,0.0119051443401756
"World","Latin America and the Caribbean","South America","Chocó",2001,1,419,5,4,1,0.0131041592349824,0.0131041592349824,0.0131041592349824,0.0131041592349824,12,12,12,12,12,12,"v","4",1,1,0,0.0131041592349824
"World","Latin America and the Caribbean","South America","Chocó",2002,1,419,5,4,1,0.0123023239107723,0.0123023239107723,0.0123023239107723,0.0123023239107723,12,12,12,12,12,12,"v","4",1,1,0,0.0123023239107723
"World","Latin America and the Caribbean","South America","Chocó",2003,1,419,5,4,1,0.0126081220937769,0.0126081220937769,0.0126081220937769,0.0126081220937769,12,12,12,12,12,12,"v","4",1,1,0,0.0126081220937769
"World","Latin America and the Caribbean","South America","Chocó",2004,1,419,5,4,1,0.0136002711845561,0.0136002711845561,0.0136002711845561,0.0136002711845561,12,12,12,12,12,12,"v","4",1,1,0,0.0136002711845561
"World","Latin America and the Caribbean","South America","Chocó",2005,1,419,5,4,1,0.0139704505076841,0.0139704505076841,0.0139704505076841,0.0139704505076841,12,12,12,12,12,12,"v","4",1,1,0,0.0139704505076841
"World","Latin America and the Caribbean","South America","Chocó",2006,1,419,5,4,1,0.0147542783961198,0.0147542783961198,0.0147542783961198,0.0147542783961198,12,12,12,12,12,12,"v","4",1,1,0,0.0147542783961198
"World","Latin America and the Caribbean","South America","Chocó",2007,1,419,5,4,1,0.0142147315494213,0.0142147315494213,0.0142147315494213,0.0142147315494213,12,12,12,12,12,12,"v","4",1,1,0,0.0142147315494213
"World","Latin America and the Caribbean","South America","Chocó",2008,1,419,5,4,1,0.0132712249884302,0.0132712249884302,0.0132712249884302,0.0132712249884302,12,12,12,12,12,12,"v","4",1,1,0,0.0132712249884302
"World","Latin America and the Caribbean","South America","Chocó",2009,1,419,5,4,1,0.0140475825712681,0.0140475825712681,0.0140475825712681,0.0140475825712681,12,12,12,12,12,12,"v","4",1,1,0,0.0140475825712681
"World","Latin America and the Caribbean","South America","Chocó",2010,1,419,5,4,1,0.013617463059614,0.013617463059614,0.013617463059614,0.013617463059614,12,12,12,12,12,12,"v","4",1,1,0,0.013617463059614
"World","Latin America and the Caribbean","South America","Chocó",2011,1,419,5,4,1,0.012532368045024,0.012532368045024,0.012532368045024,0.012532368045024,12,12,12,12,12,12,"v","4",1,1,0,0.012532368045024
"World","Latin America and the Caribbean","South America","Chocó",2012,1,419,5,4,1,0.0123086663464264,0.0123086663464264,0.0123086663464264,0.0123086663464264,12,12,12,12,12,12,"v","4",1,1,0,0.0123086663464264
"World","Latin America and the Caribbean","South America","Córdoba",1990,1,419,5,6,1,0.0110852868025015,0.0110852868025015,0.0110852868025015,0.0110852868025015,12,12,12,12,12,12,"v","6",1,1,0,0.0110852868025015
"World","Latin America and the Caribbean","South America","Córdoba",1991,1,419,5,6,1,0.0113389742544577,0.0113389742544577,0.0113389742544577,0.0113389742544577,12,12,12,12,12,12,"v","6",1,1,0,0.0113389742544577
"World","Latin America and the Caribbean","South America","Córdoba",1992,1,419,5,6,1,0.0128940736234819,0.0128940736234819,0.0128940736234819,0.0128940736234819,12,12,12,12,12,12,"v","6",1,1,0,0.0128940736234819
"World","Latin America and the Caribbean","South America","Córdoba",1993,1,419,5,6,1,0.0130180886796176,0.0130180886796176,0.0130180886796176,0.0130180886796176,12,12,12,12,12,12,"v","6",1,1,0,0.0130180886796176
"World","Latin America and the Caribbean","South America","Córdoba",1994,1,419,5,6,1,0.0115779514696784,0.0115779514696784,0.0115779514696784,0.0115779514696784,12,12,12,12,12,12,"v","6",1,1,0,0.0115779514696784
"World","Latin America and the Caribbean","South America","Córdoba",1995,1,419,5,6,1,0.0115618835316687,0.0115618835316687,0.0115618835316687,0.0115618835316687,12,12,12,12,12,12,"v","6",1,1,0,0.0115618835316687
"World","Latin America and the Caribbean","South America","Córdoba",1996,1,419,5,6,1,0.0124960027280426,0.0124960027280426,0.0124960027280426,0.0124960027280426,12,12,12,12,12,12,"v","6",1,1,0,0.0124960027280426
"World","Latin America and the Caribbean","South America","Córdoba",1997,1,419,5,6,1,0.0122597529374729,0.0122597529374729,0.0122597529374729,0.0122597529374729,12,12,12,12,12,12,"v","6",1,1,0,0.0122597529374729
"World","Latin America and the Caribbean","South America","Córdoba",1998,1,419,5,6,1,0.0118178042510533,0.0118178042510533,0.0118178042510533,0.0118178042510533,12,12,12,12,12,12,"v","6",1,1,0,0.0118178042510533
"World","Latin America and the Caribbean","South America","Córdoba",1999,1,419,5,6,1,0.0122530802277283,0.0122530802277283,0.0122530802277283,0.0122530802277283,12,12,12,12,12,12,"v","6",1,1,0,0.0122530802277283
"World","Latin America and the Caribbean","South America","Córdoba",2000,1,419,5,6,1,0.0119051443401756,0.0119051443401756,0.0119051443401756,0.0119051443401756,12,12,12,12,12,12,"v","6",1,1,0,0.0119051443401756
"World","Latin America and the Caribbean","South America","Córdoba",2001,1,419,5,6,1,0.0131041592349824,0.0131041592349824,0.0131041592349824,0.0131041592349824,12,12,12,12,12,12,"v","6",1,1,0,0.0131041592349824
"World","Latin America and the Caribbean","South America","Córdoba",2002,1,419,5,6,1,0.0123023239107723,0.0123023239107723,0.0123023239107723,0.0123023239107723,12,12,12,12,12,12,"v","6",1,1,0,0.0123023239107723
"World","Latin America and the Caribbean","South America","Córdoba",2003,1,419,5,6,1,0.0126081220937769,0.0126081220937769,0.0126081220937769,0.0126081220937769,12,12,12,12,12,12,"v","6",1,1,0,0.0126081220937769
"World","Latin America and the Caribbean","South America","Córdoba",2004,1,419,5,6,1,0.0136002711845561,0.0136002711845561,0.0136002711845561,0.0136002711845561,12,12,12,12,12,12,"v","6",1,1,0,0.0136002711845561
"World","Latin America and the Caribbean","South America","Córdoba",2005,1,419,5,6,1,0.0139704505076841,0.0139704505076841,0.0139704505076841,0.0139704505076841,12,12,12,12,12,12,"v","6",1,1,0,0.0139704505076841
